foto,fila,nombre,arete,telefono,marker_px,px_per_cm,distancia_m,nivel_distancia,cow_conf,area_px,lateral_area_cm2,lateral_area_cm2_corr,body_length_cm,height_cm,chest_depth_cm,aspect_ratio,fill_ratio,marcador_en_caja,seleccionada_3m,estado
IMG_20260912_071926.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.56,8.9705,2.917,3.0,0.951,1188914,14774.71,20273.39,230.42,130.54,127.64,1.7652,0.4912,1,0,ok
IMG_20260912_071927.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.32,8.9545,2.922,3.0,0.95,1170188,14593.99,20014.97,230.16,129.99,127.2,1.7706,0.4878,1,1,ok
IMG_20260912_071927_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.83,8.9887,2.911,3.0,0.893,1164013,14406.82,19780.31,229.18,127.49,125.27,1.7976,0.4931,0,0,ok
IMG_20260912_071928.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.83,8.9887,2.911,3.0,0.929,1172345,14509.94,19921.89,229.96,126.72,125.38,1.8147,0.498,0,0,ok
IMG_20260912_071928_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.59,8.9728,2.916,3.0,0.93,1153936,14332.65,19668.29,220.33,124.82,124.04,1.7652,0.5211,1,0,ok
IMG_20260912_071936.jpg,11,Crisalia,197257,xiaomi_15_ultra,113.29,7.5527,3.465,3.5,0.946,873101,15305.87,20042.1,236.47,135.58,127.11,1.7441,0.4774,1,0,ok
IMG_20260912_071937.jpg,11,Crisalia,197257,xiaomi_15_ultra,113.8,7.5866,3.449,3.5,0.949,884370,15365.13,20142.49,237.13,137.48,129.83,1.7248,0.4713,1,0,ok
IMG_20260912_071937_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,113.8,7.5865,3.449,3.5,0.95,891451,15488.78,20304.48,237.0,141.7,130.76,1.6726,0.4612,1,0,ok
IMG_20260912_071938.jpg,11,Crisalia,197257,xiaomi_15_ultra,113.79,7.586,3.45,3.5,0.947,889528,15457.19,20262.77,237.01,139.2,129.18,1.7027,0.4685,1,0,ok
IMG_20260912_071938_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,113.29,7.5527,3.465,3.5,0.949,883905,15495.27,20290.11,237.27,138.23,128.83,1.7165,0.4725,1,0,ok
